From src:'1'	To src:'7'
CHEMBL3544571	80626
CHEMBL3184089	98802
CHEMBL1488165	94618
CHEMBL1201104	6825
CHEMBL1206015	40863
CHEMBL3593355	69430
CHEMBL2135733	96949
CHEMBL3138620	137938
CHEMBL2358525	96474
CHEMBL1504234	119883
CHEMBL39664	34973
CHEMBL470656	155860
CHEMBL1559351	114998
CHEMBL1595214	114779
CHEMBL373742	34543
CHEMBL459460	144083
CHEMBL1432815	109573
CHEMBL466154	7632
CHEMBL1397663	92366
CHEMBL3184732	87464
CHEMBL277076	91647
CHEMBL97407	121841
CHEMBL1425649	109403
CHEMBL1697754	31798
CHEMBL1486332	91665
CHEMBL1904430	83729
CHEMBL1761	8449
CHEMBL3183789	134485
CHEMBL376300	70647
CHEMBL520275	9666
CHEMBL12367	5637
CHEMBL1305787	116206
CHEMBL3588939	86578
CHEMBL2106361	135240
CHEMBL344760	40782
CHEMBL1079421	81734
CHEMBL105912	68656
CHEMBL1086	247956
CHEMBL1475514	93529
CHEMBL1200592	50782
CHEMBL1560062	105629
CHEMBL2269453	83218
CHEMBL1367646	92651
CHEMBL1679	15640
CHEMBL1464674	119925
CHEMBL1427148	106017
CHEMBL1314450	135777
CHEMBL1584877	107804
CHEMBL517619	91267
CHEMBL1090173	82712
CHEMBL1213327	15346
CHEMBL389433	135316
CHEMBL1408143	109144
CHEMBL3561117	111903
CHEMBL1234168	58100
CHEMBL1234168	17311
CHEMBL202132	67410
CHEMBL1362650	105453
CHEMBL198362	68579
CHEMBL1254687	62357
CHEMBL1569165	114971
CHEMBL550227	4517
CHEMBL15150	137830
CHEMBL1165	6960
CHEMBL276473	34360
CHEMBL116902	48086
CHEMBL492491	5014
CHEMBL1566946	35626
CHEMBL1201251	50580
CHEMBL593019	16410
CHEMBL7976	48965
CHEMBL1323278	115486
CHEMBL98	45716
CHEMBL477887	9697
CHEMBL3560036	127220
CHEMBL3187509	104379
CHEMBL1977368	9848
CHEMBL1541254	105130
CHEMBL1869649	95840
CHEMBL1313140	112373
CHEMBL1531062	114628
CHEMBL1563246	16076
CHEMBL1618043	70640
CHEMBL553426	28797
CHEMBL452949	89830
CHEMBL3305904	61326
CHEMBL1525797	106060
CHEMBL1588813	109838
CHEMBL1940606	76588
CHEMBL1697843	135885
CHEMBL1835011	69035
CHEMBL465964	65877
CHEMBL1307998	105314
CHEMBL2361545	102115
CHEMBL1618772	104005
CHEMBL1835444	69706
CHEMBL1449536	109008
CHEMBL1535436	114604
CHEMBL576127	94558
CHEMBL3140313	17127
CHEMBL379845	134761
CHEMBL22827	90734
CHEMBL273101	109100
CHEMBL3321992	74709
CHEMBL1221888	78812
CHEMBL1459473	121850
CHEMBL1369821	119834
CHEMBL1663	31980
CHEMBL383921	135342
CHEMBL49563	93909
CHEMBL2110809	135521
CHEMBL1457493	81745
CHEMBL2358029	106227
CHEMBL1506805	120918
CHEMBL1332298	121133
CHEMBL278398	8065
CHEMBL113178	62621
CHEMBL113178	30021
CHEMBL497530	145967
CHEMBL3183902	81952
CHEMBL1325171	112433
CHEMBL312722	28469
CHEMBL463312	3094
CHEMBL1589076	112196
CHEMBL2106439	135769
CHEMBL349609	2804
CHEMBL61505	92770
