id	reversible	fast	lowerFluxBound	upperFluxBound
R_HMR_8342	true	false	FB1N1000	FB3N1000
R_HMR_8344	true	false	FB1N1000	FB3N1000
R_HMR_8352	true	false	FB1N1000	FB3N1000
R_HMR_8353	true	false	FB1N1000	FB3N1000
R_HMR_8726	false	false	FB2N0	FB3N1000
R_HMR_8727	false	false	FB2N0	FB3N1000
R_HMR_8728	false	false	FB2N0	FB3N1000
R_HMR_8729	false	false	FB2N0	FB3N1000
R_HMR_6537	true	false	FB1N1000	FB3N1000
R_HMR_1568	false	false	FB2N0	FB3N1000
R_HMR_3853	false	false	FB2N0	FB3N1000
R_HMR_3854	false	false	FB2N0	FB3N1000
R_HMR_3855	false	false	FB2N0	FB3N1000
R_HMR_3857	false	false	FB2N0	FB3N1000
R_HMR_3859	false	false	FB2N0	FB3N1000
R_HMR_4087	false	false	FB2N0	FB3N1000
R_HMR_4089	false	false	FB2N0	FB3N1000
R_HMR_4091	false	false	FB2N0	FB3N1000
R_HMR_4093	false	false	FB2N0	FB3N1000
R_HMR_4095	false	false	FB2N0	FB3N1000
R_HMR_4101	false	false	FB2N0	FB3N1000
R_HMR_4103	false	false	FB2N0	FB3N1000
R_HMR_4143	false	false	FB2N0	FB3N1000
R_HMR_4193	false	false	FB2N0	FB3N1000
R_HMR_8497	false	false	FB2N0	FB3N1000
R_HMR_8498	false	false	FB2N0	FB3N1000
R_HMR_8499	false	false	FB2N0	FB3N1000
R_HMR_8500	false	false	FB2N0	FB3N1000
R_HMR_8501	false	false	FB2N0	FB3N1000
R_HMR_8502	true	false	FB1N1000	FB3N1000
R_HMR_8503	false	false	FB2N0	FB3N1000
R_HMR_8504	false	false	FB2N0	FB3N1000
R_HMR_8506	false	false	FB2N0	FB3N1000
R_HMR_8507	false	false	FB2N0	FB3N1000
R_HMR_8508	false	false	FB2N0	FB3N1000
R_HMR_8509	false	false	FB2N0	FB3N1000
R_HMR_8511	false	false	FB2N0	FB3N1000
R_HMR_8512	true	false	FB1N1000	FB3N1000
R_HMR_8514	false	false	FB2N0	FB3N1000
R_HMR_8516	false	false	FB2N0	FB3N1000
R_HMR_8517	false	false	FB2N0	FB3N1000
R_HMR_4280	true	false	FB1N1000	FB3N1000
R_HMR_0153	false	false	FB2N0	FB3N1000
R_HMR_3212	false	false	FB2N0	FB3N1000
R_HMR_3797	true	false	FB1N1000	FB3N1000
R_HMR_3800	false	false	FB2N0	FB3N1000
R_HMR_4105	false	false	FB2N0	FB3N1000
R_HMR_4106	false	false	FB2N0	FB3N1000
R_HMR_4107	false	false	FB2N0	FB3N1000
R_HMR_4282	false	false	FB2N0	FB3N1000
R_HMR_4331	true	false	FB1N1000	FB3N1000
R_HMR_4459	false	false	FB2N0	FB3N1000
R_HMR_4460	true	false	FB1N1000	FB3N1000
R_HMR_4464	false	false	FB2N0	FB3N1000
R_HMR_4497	false	false	FB2N0	FB3N1000
R_HMR_4741	false	false	FB2N0	FB3N1000
R_HMR_8078	false	false	FB2N0	FB3N1000
R_HMR_9803	true	false	FB1N1000	FB3N1000
R_HMR_9804	true	false	FB1N1000	FB3N1000
R_HMR_0718	false	false	FB2N0	FB3N1000
R_HMR_0719	false	false	FB2N0	FB3N1000
R_HMR_1434	true	false	FB1N1000	FB3N1000
R_HMR_1436	false	false	FB2N0	FB3N1000
R_HMR_3163	false	false	FB2N0	FB3N1000
R_HMR_4461	true	false	FB1N1000	FB3N1000
R_HMR_4604	false	false	FB2N0	FB3N1000
R_HMR_5351	true	false	FB1N1000	FB3N1000
R_HMR_7709	true	false	FB1N1000	FB3N1000
R_HMR_4052	false	false	FB2N0	FB3N1000
R_HMR_4304	false	false	FB2N0	FB3N1000
R_HMR_4306	true	false	FB1N1000	FB3N1000
R_HMR_4350	true	false	FB1N1000	FB3N1000
R_HMR_4351	true	false	FB1N1000	FB3N1000
R_HMR_4352	true	false	FB1N1000	FB3N1000
R_HMR_4354	true	false	FB1N1000	FB3N1000
R_HMR_4398	true	false	FB1N1000	FB3N1000
R_HMR_4404	true	false	FB1N1000	FB3N1000
R_HMR_4473	false	false	FB2N0	FB3N1000
R_HMR_4474	false	false	FB2N0	FB3N1000
R_HMR_4476	true	false	FB1N1000	FB3N1000
R_HMR_4477	true	false	FB1N1000	FB3N1000
R_HMR_4501	true	false	FB1N1000	FB3N1000
R_HMR_4565	true	false	FB1N1000	FB3N1000
R_HMR_4567	true	false	FB1N1000	FB3N1000
R_HMR_4568	true	false	FB1N1000	FB3N1000
R_HMR_9799	true	false	FB1N1000	FB3N1000
R_HMR_9800	true	false	FB1N1000	FB3N1000
R_HMR_4623	false	false	FB2N0	FB3N1000
R_HMR_4625	false	false	FB2N0	FB3N1000
R_HMR_4710	true	false	FB1N1000	FB3N1000
R_HMR_4841	true	false	FB1N1000	FB3N1000
R_HMR_8074	false	false	FB2N0	FB3N1000
R_HMR_8653	true	false	FB1N1000	FB3N1000
R_HMR_3998	false	false	FB2N0	FB3N1000
R_HMR_4000	false	false	FB2N0	FB3N1000
R_HMR_4002	true	false	FB1N1000	FB3N1000
R_HMR_4004	true	false	FB1N1000	FB3N1000
R_HMR_4010	false	false	FB2N0	FB3N1000
R_HMR_4081	false	false	FB2N0	FB3N1000
R_HMR_4082	false	false	FB2N0	FB3N1000
R_HMR_4012	false	false	FB2N0	FB3N1000
R_HMR_4014	false	false	FB2N0	FB3N1000
R_HMR_4020	true	false	FB1N1000	FB3N1000
R_HMR_4022	false	false	FB2N0	FB3N1000
R_HMR_4038	true	false	FB1N1000	FB3N1000
R_HMR_4040	false	false	FB2N0	FB3N1000
R_HMR_4042	false	false	FB2N0	FB3N1000
R_HMR_4046	false	false	FB2N0	FB3N1000
R_HMR_4048	false	false	FB2N0	FB3N1000
R_HMR_4080	false	false	FB2N0	FB3N1000
R_HMR_4085	true	false	FB1N1000	FB3N1000
R_HMR_4086	true	false	FB1N1000	FB3N1000
R_HMR_4134	false	false	FB2N0	FB3N1000
R_HMR_4135	true	false	FB1N1000	FB3N1000
R_HMR_4168	false	false	FB2N0	FB3N1000
R_HMR_4171	false	false	FB2N0	FB3N1000
R_HMR_4290	false	false	FB2N0	FB3N1000
R_HMR_4406	false	false	FB2N0	FB3N1000
R_HMR_4412	true	false	FB1N1000	FB3N1000
R_HMR_4417	false	false	FB2N0	FB3N1000
R_HMR_4418	true	false	FB1N1000	FB3N1000
R_HMR_4419	false	false	FB2N0	FB3N1000
R_HMR_4421	false	false	FB2N0	FB3N1000
R_HMR_4449	false	false	FB2N0	FB3N1000
R_HMR_4450	false	false	FB2N0	FB3N1000
R_HMR_4451	false	false	FB2N0	FB3N1000
R_HMR_4452	true	false	FB1N1000	FB3N1000
R_HMR_4453	false	false	FB2N0	FB3N1000
R_HMR_4480	true	false	FB1N1000	FB3N1000
R_HMR_4481	false	false	FB2N0	FB3N1000
R_HMR_4482	false	false	FB2N0	FB3N1000
R_HMR_4486	false	false	FB2N0	FB3N1000
R_HMR_4487	false	false	FB2N0	FB3N1000
R_HMR_4488	false	false	FB2N0	FB3N1000
R_HMR_4489	false	false	FB2N0	FB3N1000
R_HMR_4492	false	false	FB2N0	FB3N1000
R_HMR_4493	false	false	FB2N0	FB3N1000
R_HMR_4495	false	false	FB2N0	FB3N1000
R_HMR_4496	false	false	FB2N0	FB3N1000
R_HMR_4518	false	false	FB2N0	FB3N1000
R_HMR_4519	false	false	FB2N0	FB3N1000
R_HMR_4520	false	false	FB2N0	FB3N1000
R_HMR_4573	false	false	FB2N0	FB3N1000
R_HMR_4574	true	false	FB1N1000	FB3N1000
R_HMR_4600	false	false	FB2N0	FB3N1000
R_HMR_4602	false	false	FB2N0	FB3N1000
R_HMR_4603	true	false	FB1N1000	FB3N1000
R_HMR_4611	false	false	FB2N0	FB3N1000
R_HMR_4612	false	false	FB2N0	FB3N1000
R_HMR_4614	false	false	FB2N0	FB3N1000
R_HMR_4615	false	false	FB2N0	FB3N1000
R_HMR_4617	false	false	FB2N0	FB3N1000
R_HMR_4618	false	false	FB2N0	FB3N1000
R_HMR_4619	false	false	FB2N0	FB3N1000
R_HMR_4621	false	false	FB2N0	FB3N1000
R_HMR_4632	false	false	FB2N0	FB3N1000
R_HMR_4646	false	false	FB2N0	FB3N1000
R_HMR_4648	false	false	FB2N0	FB3N1000
R_HMR_4649	false	false	FB2N0	FB3N1000
R_HMR_4650	false	false	FB2N0	FB3N1000
